Task: 1, Test Name: Product: Appli Air 98 Shopping icon field is displayed, DOM Id: I__tishopping__346, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 image field is displayed, DOM Id: IMG__imgfluid__352, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 title field is displayed, DOM Id: H3____354, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 Price field is displayed, DOM Id: DIV__pricebox__355, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 Heart icon field is displayed, DOM Id: I__tiheart__360, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 Compare icon field is displayed, DOM Id: I__ticontrols__364, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Air 720 Shopping icon field is displayed, DOM Id: I__tishopping__368, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II image field is displayed, DOM Id: IMG__imgfluid__375, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II title field is displayed, DOM Id: H3____378, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II Price field is displayed, DOM Id: DIV__pricebox__379, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II Heart icon field is displayed, DOM Id: I__tiheart__385, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II Compare icon field is displayed, DOM Id: I__ticontrols__389, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli Okwahn II Shopping icon field is displayed, DOM Id: I__tishopping__393, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 image field is displayed, DOM Id: IMG__imgfluid__399, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 title field is displayed, DOM Id: H3____401, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 Price field is displayed, DOM Id: DIV__pricebox__402, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 Heart icon field is displayed, DOM Id: I__tiheart__407, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 Compare icon field is displayed, DOM Id: I__ticontrols__411, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Product: Appli 720 Shopping icon field is displayed, DOM Id: I__tishopping__415, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Additional Links field is displayed, DOM Id: UL__additional__471, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Contact field is displayed, DOM Id: collapse_3, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Currency selector field is displayed, DOM Id: DIV__styledsele__466, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Language selector field is displayed, DOM Id: DIV__styledsele__459, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Newsletter field is displayed, DOM Id: newsletter, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
Task: 1, Test Name: Quick links field is displayed, DOM Id: collapse_1, Browser: Chrome, Viewport: 1200 x 700, Device: Laptop, Status: Pass
